نام کتاب,نویسنده,قیمت
ورونیکا تصمیم می گیرد بمیرد,پائولو کوئیلو,"۵۰,۱۵۰ ت"
بیگانه,آلبر کامو,"۱۹,۹۰۰ ت"
شازده کوچولو,آنتوان دوسنت اگزوپری,"۴۶,۷۵۰ ت"
مزرعه‌ حیوانات,جورج اورول,"۱۶,۰۰۰ ت"
صبحانه در تیفانی,ترومن کاپوتی,"۱۴۰,۲۵۰ ت"
‌‫ظرافت جوجه تیغی,موریل باربری,"۱۰,۵۰۰ ت"
تصویر دوریان گری,اسکار وایلد,"۵۹,۵۰۰ ت"
گتسبی بزرگ,رضا  رضایی,۷۰۰ ت
ناطور دشت (ناتور دشت),جی. دی. سلینجر,"۶۳,۷۵۰ ت"
سبکی تحمل ‌ناپذیر هستی ( بار هستی ),میلان کوندرا,"۱۶,۰۰۰ ت"
زنان کوچک,لوییزا می الکات,"۱۶۱,۵۰۰ ت"
سیذارتا,هرمان هسه,"۱۱,۲۰۰ ت"
تهوع,ژان پل سارتر,"۱۲۳,۲۵۰ ت"
پی پی جوراب بلند (جلد اول),آسترید لیندگرن,"۵۰,۰۰۰ ت"
موش‌ها و آدم‌ها,جان اشتاین‌بک,"۷۲,۲۵۰ ت"
خوشه‌ های خشم,جان اشتاین‌بک,"۳۴,۰۰۰ ت"
